person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
13592,3756109,misdemeanor,violent,2018-05-16,7357500,33.413698630136984,M,Black,2016-03-13,0,0,0
184900,7876199,misdemeanor,property,2015-10-10,7157228,24.46849315068493,M,Black,2016-05-06,1,0,0
247459,4298564,felony,violent,2018-02-21,4852731,22.106849315068494,M,Black,2017-11-08,1,1,0
98350,10073674,misdemeanor,property,2013-10-22,4251991,53.772602739726025,M,Black,2018-03-02,0,0,0
434345,5527499,misdemeanor,property,2017-07-10,5527499,52.1972602739726,F,mixed,2017-07-10,0,0,0
2792559,283836,misdemeanor,other,2020-02-04,6313370,50.71780821917808,M,White,2016-12-21,0,0,0
4741,5464875,misdemeanor,other,2017-07-24,4609251,33.49589041095891,M,White,2017-12-21,1,0,1
92826,20703358,misdemeanor,property,2012-02-01,6037598,40.846575342465755,M,Black,2017-03-07,0,0,0
1308319,7334145,misdemeanor,drug,2016-03-18,5819314,19.27671232876712,M,Black,2017-05-02,0,0,0
71257,3077468,misdemeanor,property,2018-09-04,2922536,33.320547945205476,M,Black,2018-10-02,0,0,0
55857,8746730,misdemeanor,violent,2015-01-08,6102845,27.07945205479452,F,White,2017-02-17,0,0,0
1119846,8736346,felony,property,2015-01-12,7485908,19.312328767123287,M,Black,2016-02-08,1,1,0
929734,3928150,misdemeanor,property,2018-04-16,2971473,40.465753424657535,M,White,2018-09-24,0,0,0
1439871,6304487,misdemeanor,property,2016-12-24,7030740,30.698630136986303,M,White,2016-05-20,1,0,2
74726,4223484,misdemeanor,drug,2018-03-07,3646741,26.556164383561644,M,Black,2018-06-06,0,0,0
27924,8937185,felony,property,2014-10-28,6822812,20.48219178082192,M,White,2016-07-21,1,1,0
1531743,10372870,misdemeanor,drug,2013-07-09,7598842,41.62191780821918,M,Black,2016-01-04,0,0,0
69777,6303394,felony,violent,2016-12-26,5594049,27.216438356164385,M,Other,2017-06-24,0,1,2
55112,7011101,felony,drug,2016-05-26,7200043,46.46849315068493,M,White,2016-04-23,1,1,0
912961,9621018,felony,violent,2014-03-19,6525048,33.78356164383562,M,Black,2016-10-18,0,1,0
43838,1120189,misdemeanor,other,2019-08-18,4301105,25.852054794520548,M,Black,2018-02-21,0,0,0
1309468,9597284,misdemeanor,property,2014-03-27,7307171,35.24931506849315,F,White,2016-03-26,0,0,0
74595,6280673,misdemeanor,drug,2017-01-03,2568623,38.24109589041096,M,Black,2018-12-10,0,0,0
49472,9895151,misdemeanor,other,2013-12-16,7563566,32.298630136986304,M,Black,2016-01-14,1,0,4
72764,5916574,misdemeanor,property,2017-04-07,6163577,22.72054794520548,F,Black,2017-02-03,1,0,3
655898,8812274,misdemeanor,property,2014-12-12,7481919,19.778082191780825,M,mixed,2016-02-09,1,0,0
